Region,IpRange
australiac2,20.36.64.0/19
australiac2,20.36.112.0/20
australiac2,20.39.72.0/21
australiac2,20.39.96.0/19
australiac2,40.82.12.0/22
australiac2,40.82.244.0/22
australiac2,40.90.130.32/28
australiac2,40.90.142.64/27
australiac2,40.90.149.32/27
australiac2,40.126.128.0/18
australiac2,52.143.218.0/24
australiac2,52.239.218.0/23
australiac,20.36.32.0/19
australiac,20.36.104.0/21
australiac,20.37.0.0/18
australiac,20.38.184.0/22
australiac,20.39.64.0/21
australiac,40.82.8.0/22
australiac,40.82.240.0/22
australiac,40.90.130.48/28
australiac,40.90.142.96/27
australiac,40.90.149.64/27
australiac,52.143.219.0/24
australiac,52.239.216.0/23
australiaeast,13.70.64.0/18
australiaeast,13.72.224.0/19
australiaeast,13.73.192.0/20
australiaeast,13.75.128.0/17
australiaeast,20.37.192.0/19
australiaeast,20.38.112.0/23
australiaeast,20.40.64.0/20
australiaeast,20.40.80.0/21
australiaeast,20.40.120.0/21
australiaeast,20.40.176.0/20
australiaeast,20.42.192.0/19
australiaeast,20.188.128.0/17
australiaeast,20.190.142.0/25
australiaeast,20.191.192.0/18
australiaeast,23.101.208.0/20
australiaeast,40.79.160.0/20
australiaeast,40.79.211.0/24
australiaeast,40.82.32.0/22
australiaeast,40.82.192.0/19
australiaeast,40.87.208.0/22
australiaeast,40.90.18.0/28
australiaeast,40.90.130.80/28
australiaeast,40.90.130.208/28
australiaeast,40.90.140.32/27
australiaeast,40.90.142.160/27
australiaeast,40.90.147.64/27
australiaeast,40.90.150.0/27
australiaeast,40.112.37.128/26
australiaeast,40.126.14.0/25
australiaeast,40.126.224.0/19
australiaeast,52.108.40.0/23
australiaeast,52.109.112.0/22
australiaeast,52.114.16.0/22
australiaeast,52.143.199.0/24
australiaeast,52.143.200.0/23
australiaeast,52.147.0.0/19
australiaeast,52.156.160.0/19
australiaeast,52.187.192.0/18
australiaeast,52.232.136.0/21
australiaeast,52.232.154.0/24
australiaeast,52.237.192.0/18
australiaeast,52.239.130.0/23
