Region,IpRange
chinaeast,40.72.128.0/18
chinaeast,40.72.192.0/22
chinaeast,40.72.196.0/23
chinaeast,40.72.208.0/20
chinaeast,40.72.224.0/19
chinaeast,40.73.226.0/24
chinaeast,40.73.232.0/23
chinaeast,40.73.240.0/24
chinaeast,40.73.248.0/22
chinaeast,40.126.64.0/18
chinaeast,42.159.130.0/27
chinaeast,42.159.130.32/28
chinaeast,42.159.130.144/28
chinaeast,42.159.132.0/22
chinaeast,42.159.136.0/22
chinaeast,42.159.140.0/26
chinaeast,42.159.141.0/24
chinaeast,42.159.142.0/23
chinaeast,42.159.144.0/20
chinaeast,42.159.176.0/25
chinaeast,42.159.191.240/28
chinaeast,42.159.192.0/18
chinaeast,139.217.128.0/19
chinaeast,139.217.160.0/26
chinaeast,139.217.160.64/27
chinaeast,139.217.160.128/28
chinaeast,139.217.161.0/24
chinaeast,139.217.162.0/24
chinaeast,139.217.168.0/21
chinaeast,139.217.192.0/20
chinaeast,139.219.128.0/20
chinaeast,139.219.144.0/24
chinaeast,139.219.147.0/26
chinaeast,139.219.148.0/28
chinaeast,139.219.150.0/23
chinaeast,139.219.155.0/24
chinaeast,139.219.160.0/19
chinaeast,139.219.192.0/18
chinanorth,40.72.0.0/18
chinanorth,40.72.64.0/22
chinanorth,40.72.127.0/24
chinanorth,40.73.227.0/24
chinanorth,40.73.236.0/23
chinanorth,40.73.242.0/24
chinanorth,40.73.252.0/22
chinanorth,40.125.128.0/17
chinanorth,42.159.0.0/27
chinanorth,42.159.0.144/28
chinanorth,42.159.4.0/22
chinanorth,42.159.8.0/21
chinanorth,42.159.16.0/26
chinanorth,42.159.17.0/24
chinanorth,42.159.18.0/23
chinanorth,42.159.20.0/22
chinanorth,42.159.24.0/21
chinanorth,42.159.35.128/26
chinanorth,42.159.48.0/25
chinanorth,42.159.63.240/28
chinanorth,42.159.64.0/18
chinanorth,139.217.0.0/19
chinanorth,139.217.32.0/24
chinanorth,139.217.40.0/21
chinanorth,139.217.48.0/21
chinanorth,139.219.0.0/20
chinanorth,139.219.18.0/23
chinanorth,139.219.20.0/28
chinanorth,139.219.32.0/19
chinanorth,139.219.64.0/18
